Auftrag	Auftragsdatum	Kunde	Menge	Wert	Produkt	Bestellweg	Verkaeufergruppe	Werbeaktion	Interessengebiet	Kundenklasse	Kundentyp
auftrag58	2012-08-01	kunde47	1	10	produkt57	bstweg1	vkgrp1	werbung4	interesse12	kunkla24	kuntyp1
auftrag59	2012-08-01	kunde48	1	25.13	produkt58	bstweg1	vkgrp1	werbung19	interesse14	kunkla25	kuntyp1
auftrag60	2012-08-01	kunde49	1	41.93	produkt59	bstweg1	vkgrp1	werbung6	interesse27	kunkla26	kuntyp1
auftrag61	2012-08-01	kunde50	2	5.88	produkt60	bstweg1	vkgrp1	werbung4	interesse5	kunkla4	kuntyp1
auftrag62	2012-08-01	kunde51	1	25.04	produkt61	bstweg1	vkgrp1	werbung5	interesse9	kunkla24	kuntyp1
auftrag62	2012-08-01	kunde51	1	25.13	produkt62	bstweg1	vkgrp1	werbung5	interesse9	kunkla24	kuntyp1
auftrag63	2012-08-01	kunde52	3	25.21	produkt63	bstweg1	vkgrp1	werbung5	interesse28	kunkla2	kuntyp1
auftrag64	2012-08-01	kunde53	1	10	produkt64	bstweg1	vkgrp1	werbung4	interesse12	kunkla11	kuntyp1
auftrag64	2012-08-01	kunde53	1	10	produkt65	bstweg1	vkgrp1	werbung4	interesse12	kunkla11	kuntyp1
auftrag64	2012-08-01	kunde53	1	10	produkt66	bstweg1	vkgrp1	werbung4	interesse12	kunkla11	kuntyp1
auftrag64	2012-08-01	kunde53	1	10	produkt67	bstweg1	vkgrp1	werbung4	interesse12	kunkla11	kuntyp1
auftrag65	2012-08-01	kunde53	1	10	produkt57	bstweg1	vkgrp1	werbung4	interesse12	kunkla11	kuntyp1
auftrag66	2012-08-01	kunde54	1	8.4	produkt4	bstweg1	vkgrp1	werbung6	interesse4	kunkla15	kuntyp1
auftrag66	2012-08-01	kunde54	1	16.73	produkt68	bstweg1	vkgrp1	werbung6	interesse29	kunkla15	kuntyp1
auftrag66	2012-08-01	kunde54	1	8.36	produkt69	bstweg1	vkgrp1	werbung6	interesse30	kunkla15	kuntyp1
auftrag66	2012-08-01	kunde54	1	8.4	produkt70	bstweg1	vkgrp1	werbung6	interesse31	kunkla15	kuntyp1
auftrag67	2012-08-01	kunde55	1	10	produkt64	bstweg1	vkgrp1	werbung4	interesse12	kunkla2	kuntyp1
auftrag67	2012-08-01	kunde55	1	10	produkt65	bstweg1	vkgrp1	werbung4	interesse12	kunkla2	kuntyp1
auftrag67	2012-08-01	kunde55	1	10	produkt66	bstweg1	vkgrp1	werbung4	interesse12	kunkla2	kuntyp1
auftrag67	2012-08-01	kunde55	1	10	produkt67	bstweg1	vkgrp1	werbung4	interesse12	kunkla2	kuntyp1
auftrag68	2012-08-01	kunde56	1	8.4	produkt4	bstweg1	vkgrp1	werbung5	interesse4	kunkla3	kuntyp3
auftrag68	2012-08-01	kunde56	1	50.42	produkt71	bstweg1	vkgrp1	werbung5	interesse4	kunkla3	kuntyp3
auftrag69	2012-08-01	kunde57	1	4.2	produkt3	bstweg1	vkgrp1	werbung20	interesse3	kunkla1	kuntyp1
auftrag70	2012-08-01	kunde58	1	12.52	produkt15	bstweg1	vkgrp1	werbung5	interesse9	kunkla2	kuntyp1
auftrag71	2012-08-01	kunde59	1	4.2	produkt3	bstweg1	vkgrp1	werbung6	interesse3	kunkla9	kuntyp1
auftrag72	2012-08-01	kunde60	1	10	produkt16	bstweg1	vkgrp1	werbung7	interesse10	kunkla1	kuntyp1
auftrag73	2012-08-01	kunde61	1	10	produkt56	bstweg7	vkgrp2	werbung21	interesse26	kunkla27	kuntyp1
auftrag74	2012-08-01	kunde62	3	12.61	produkt3	bstweg1	vkgrp1	werbung2	interesse3	kunkla3	kuntyp1
auftrag75	2012-08-01	kunde63	1	4.2	produkt3	bstweg1	vkgrp1	werbung2	interesse3	kunkla11	kuntyp1
auftrag76	2012-08-01	kunde64	1	50.42	produkt71	bstweg1	vkgrp1	werbung8	interesse4	kunkla2	kuntyp1
auftrag77	2012-08-01	kunde65	5	247.9	produkt72	bstweg1	vkgrp1	werbung3	interesse32	kunkla28	kuntyp1
auftrag78	2012-08-01	kunde66	1	12.56	produkt73	bstweg1	vkgrp1	werbung8	interesse4	kunkla29	kuntyp1
